"Classification(1)",Classification(2),2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
"Total",Sub Summary,39,38,40,41,34,34,20,24,22,34,38,38,39,43,65,41,52,32,22,21,17,27,40,36,39,37,42,39,33,22,22,19,22,26,39,35
"Seoul",Seoul,42,41,45,44,35,36,21,23,19,33,42,42,38,48,67,42,61,33,24,22,15,27,45,39,43,40,41,45,33,22,25,20,22,25,39,38
"Busan",Busan,32,34,33,36,32,27,18,31,24,30,31,33,36,37,60,37,36,26,18,19,17,23,34,31,31,30,38,32,31,19,20,19,20,21,33,30
"Daegu",Daegu,37,38,38,39,38,35,22,25,25,33,40,38,40,41,59,42,41,35,19,21,18,26,40,38,37,35,42,36,33,22,20,18,20,24,41,35
"Incheon",Incheon,42,37,41,39,31,32,21,24,20,34,39,39,37,46,69,42,59,36,29,22,16,28,44,39,42,38,42,44,32,21,26,21,26,30,41,38
"Gwangju",Gwangju,36,32,35,38,31,31,15,22,21,31,32,33,37,40,65,39,50,29,16,17,15,25,34,34,32,34,38,34,29,20,18,16,21,25,34,33
"Daejeon",Daejeon,41,38,40,41,32,34,16,20,21,33,37,38,39,42,63,41,56,31,16,18*,15,27,38,40,45,40,44,39,31,21,20,15,19,24,39,35
"Ulsan",Ulsan,30,31,34,36,36,32,20,28,25,30,31,30,34,35,55,37,35,28,17,20,16,22,32,29,29,29,39,34,34,21,21,23,24,25,35,31
"Sejong-si",Sejong-si,47,43,47,44,34,37,17,20,20,35,40,44,45,47,67,42,61,31,20,21,16,29,44,43,47,43,46,40,31,22,24,18,21,28,45,40
"Gyeonggi",Suwon,44,42,47,43,37,42,25,27,23,39,45,44,41,52,75,48,70,38,28,25,18,32,46,40,43,41,45,48,36,24,28,22,26,31,42,37
"Gyeonggi",Anyang,49,46,52,52,42,45,26,25,23,38,44,45,41,53,76,49,72,41,30,28,21,30*,46*,39,43,40,45,46,36,24,26,20,25,30,42,37
"Gyeonggi",Seongnam,44,43,47,46,36,42,23,25,21,35,41,41,39,49,67,43,64,34,24,22,15,28,44,38,43,41,45,44,33,22,24,20,21,26,39,36
"Gyeonggi",Uijeongbu,47,42,44,45,34,38,23,24,22,36,41,41,36,46,61,40,55,32,24,23,15,26,43,37,41,37,38,42,33,23,23,21,21,24,40,38
"Gyeonggi",Gwangmyeong,50,47,52,50,40,43,22**,22*,23,44,52,49,47,60,85,51,72,39,27,25,19,34,54,47,49,46,50,51,37,23,25,20,26,33,48,41
"Gyeonggi",Ansan,49,44,46,43,35,36,22,25*,22*,36,43,45,43,54,76,46,65,36,29,26,18,31,46,43,48,43,45,46,32,20,26,22,27,32,45,41
"Gyeonggi",Pyeongtaek,49,45,53,48,43,43,27,27,28,45,48,45,43,54,82,51,70,44,28,29,21,37,50,43,47,44,51,55,44,29,31,24,32,39,53,40
"Gyeonggi",Gwacheon,45,43,48,50,40,45,26,28,23,38,43,45,41,54,75,48,72,46,29,26,18,28,44,39,44,40,43**,48*,33,21,24,19,21,25,36,35
"Gyeonggi",Guri,47,44,49,49,36,39,20,22,20,34,43,45,40,49,66,44,61,34,24,23,16,28,45,40,44,40,44,45,34,22,22,19,19,22,39,37
"Gyeonggi",Uiwang,47,43,47,43,35,40,22,23,21,34,41,42,39,50,65,40**,60,32,24,23,15,27,43,38,43,40,44,44,32,21,25,20,24,28,42,38
"Gyeonggi",Goyang,46,42,49,49,43,45,29,26,22,38,45,43,40,49,70,44,62,39,31,26,17*,30*,50,40,43,40,42,47,35,24,26,21,25,28,42,38
"Gyeonggi",Gwangju,54,50,51,49,35,40,20,22,20,38,49,52,46,54,73,48,61,33,23,23,18,30,52,46,51,46,50,48,35,24,25,20,21,28,46,44
"Gyeonggi",Gunpo,44,42,48,46,38,42,24,22,20,36,43,42,39,50,74,46,68,40,26,24,17,30,46,39,42,39,46,48,36,25,27,21,25,30,43,37
"Gyeonggi",Siheung,54,47,52,48,41,42,26,25,25,41,48,45,41*,54,81,49,67,40,30,27,20,34,50,45,48,43,49,51,38,25,28,21,30,36,51,40
"Gyeonggi",Bucheon,53,45,55,57,48,53,31,25,26,48,52,49,45,58,84,52,72,48,34,30,20,36,55,45,46,43,47,49,35,22,24,17,27,33,48,40
