,Unnamed: 0,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
27,2019.04,0.029,0.019,0.017,0.026,0.019,0.018,0.021,0.018,0.024,0.011,0.017,0.014,0.013,0.012,0.014,0.016,0.01
28,2019.05,0.028,0.021,0.016,0.023,0.017,0.017,0.024,0.018,0.022,0.01,0.016,0.012,0.012,0.011,0.014,0.016,0.01
29,2019.06,0.02,0.016,0.013,0.017,0.014,0.013,0.019,0.015,0.017,0.008,0.013,0.01,0.009,0.009,0.011,0.014,0.008
30,2019.07,0.018,0.015,0.011,0.015,0.011,0.011,0.016,0.012,0.014,0.007,0.01,0.008,0.007,0.007,0.009,0.012,0.006
31,2019.08,0.018,0.014,0.012,0.015,0.011,0.011,0.014,0.013,0.015,0.007,0.011,0.008,0.008,0.007,0.009,0.012,0.007
32,2019.09,0.021,0.015,0.013,0.021,0.012,0.013,0.015,0.015,0.018,0.007,0.012,0.01,0.009,0.008,0.009,0.012,0.007
33,2019.1,0.025,0.017,0.017,0.023,0.017,0.018,0.016,0.019,0.022,0.009,0.016,0.013,0.012,0.009,0.011,0.014,0.008
34,2019.11,0.034,0.023,0.026,0.031,0.023,0.025,0.022,0.026,0.03,0.015,0.023,0.017,0.016,0.013,0.016,0.02,0.009
35,2019.12,0.035,0.026,0.03,0.031,0.025,0.028,0.025,0.029,0.031,0.017,0.025,0.018,0.016,0.015,0.017,0.023,0.01
0,2017.01,0.035,0.024,0.0280,0.027,0.023,0.024,0.024,0.027,0.033,0.0220,0.027,0.023,0.02,0.016,0.019,0.023,0.0130
1,2017.02,0.035,0.021,0.0250,0.026,0.022,0.023,0.023,0.025,0.031,0.0200,0.026,0.021,0.018,0.016,0.018,0.021,0.0120
2,2017.03,0.038,0.022,0.0240,0.03,0.025,0.021,0.025,0.024,0.034,0.0190,0.025,0.022,0.019,0.019,0.018,0.023,0.0140
3,2017.04,0.031,0.021,0.0190,0.025,0.018,0.016,0.024,0.018,0.028,0.0140,0.019,0.017,0.015,0.016,0.014,0.02,0.0130
4,2017.05,0.028,0.021,0.0180,0.022,0.017,0.015,0.026,0.015,0.024,0.0140,0.016,0.014,0.013,0.014,0.013,0.021,0.0120
5,2017.06,0.024,0.018,0.0140,0.018,0.015,0.014,0.02,0.014,0.02,0.0130,0.015,0.014,0.011,0.013,0.012,0.017,0.0100
6,2017.07,0.023,0.017,0.0130,0.018,0.011,0.011,0.019,0.012,0.018,0.0110,0.013,0.009,0.009,0.01,0.012,0.014,0.0070
7,2017.08,0.021,0.013,0.0120,0.019,0.012,0.012,0.012,0.013,0.018,0.0090,0.013,0.011,0.01,0.01,0.01,0.012,0.007*
8,2017.09,0.027,0.017,0.017*,0.022,0.015,0.016,0.017,0.02,0.025,0.013*,0.016,0.014,0.013,0.012,0.013,0.016,0.0080
9,2017.1,0.027,0.016,0.018*,0.022,0.017,0.018,0.016,0.022,0.025,0.0150,0.016,0.015,0.015,0.012,0.014,0.014,0.0070
10,2017.11,0.033,0.025,0.0280,0.026,0.026,0.023,0.028,0.021,0.031,0.0220,0.023,0.017,0.018,0.018,0.019,0.024,0.0110
11,2017.12,0.034,0.023,0.0280,0.031,0.024,0.024,0.025,0.025,0.032,0.0230,0.025,0.019,0.018,0.017,0.019,0.023,0.0100
12,2018.01,0.035,0.022,0.0270,0.029,0.024,0.026,0.024,0.028,0.033,0.0230,0.029,0.022,0.019,0.016,0.018,0.022,0.0110
13,2018.02,0.034,0.022,0.0250,0.027,0.024,0.028,0.024,0.025,0.031,0.0200,0.025,0.02,0.018,0.017,0.019,0.023,0.0120
14,2018.03,0.033,0.021,0.0220,0.029,0.019,0.022,0.023,0.019,0.028,0.0180,0.02,0.016,0.016,0.015,0.016,0.02,0.0120
15,2018.04,0.031,0.019,0.0170,0.027,0.016,0.017,0.021,0.015,0.025,0.0140,0.017,0.014,0.014,0.013,0.013,0.018,0.0100
16,2018.05,0.025,0.018,0.0130,0.023,0.013,0.014,0.019,0.013,0.021,0.0130,0.014,0.011,0.011,0.011,0.012,0.016,0.0090
17,2018.06,0.024,0.019,0.0130,0.022,0.011,0.014,0.02,0.014,0.019,0.0120,0.015,0.01,0.01,0.011,0.011,0.016,0.0080
18,2018.07,0.019,0.016,0.0100,0.017,0.009,0.011,0.017,0.011,0.015,0.0100,0.016,0.008,0.008,0.008,0.01,0.013,0.0060
19,2018.08,0.017,0.012,0.0100,0.016,0.008,0.011,0.013,0.008,0.014,0.0100,0.016,0.009,0.007,0.008,0.01,0.012,0.0060
20,2018.09,0.019,0.014,0.0140,0.019,0.013,0.012,0.013,0.012,0.017,0.0100,0.017,0.011,0.009,0.01,0.012,0.012,0.0070
21,2018.1,0.028,0.019,0.0210,0.026,0.019,0.02,0.018,0.021,0.025,0.0150,0.021,0.016,0.013,0.013,0.015,0.017,0.0090
22,2018.11,0.039,0.027,0.0330,0.035,0.03,0.03,0.027,0.031,0.036,0.0220,0.029,0.023,0.019,0.02,0.022,0.027,0.0130
23,2018.12,0.035,0.023,0.0290,0.03,0.024,0.028,0.022,0.026,0.032,0.0200,0.027,0.021,0.017,0.016,0.02,0.022,0.0100
24,2019.01,0.039,0.024,0.0290,0.032,0.025,0.029,0.024,0.024,0.036,0.0200,0.029,0.022,0.018,0.015,0.02,0.021,0.0120
25,2019.02,0.036,0.022,0.0260,0.029,0.02,0.027,0.022,0.021,0.031,0.0150,0.026,0.019,0.015,0.015,0.017,0.019,0.0110
26,2019.03,0.034,0.02,0.0210,0.028,0.022,0.023,0.022,0.022,0.028,0.0140,0.022,0.017,0.014,0.013,0.016,0.018,0.0120
27,2019.04,0.029,0.019,0.0170,0.026,0.019,0.018,0.021,0.018,0.024,0.0110,0.017,0.014,0.013,0.012,0.014,0.016,0.0100
28,2019.05,0.028,0.021,0.0160,0.023,0.017,0.017,0.024,0.018,0.022,0.0100,0.016,0.012,0.012,0.011,0.014,0.016,0.0100
29,2019.06,0.02,0.016,0.0130,0.017,0.014,0.013,0.019,0.015,0.017,0.0080,0.013,0.01,0.009,0.009,0.011,0.014,0.0080
30,2019.07,0.018,0.015,0.0110,0.015,0.011,0.011,0.016,0.012,0.014,0.0070,0.01,0.008,0.007,0.007,0.009,0.012,0.0060
31,2019.08,0.018,0.014,0.0120,0.015,0.011,0.011,0.014,0.013,0.015,0.0070,0.011,0.008,0.008,0.007,0.009,0.012,0.0070
32,2019.09,0.021,0.015,0.0130,0.021,0.012,0.013,0.015,0.015,0.018,0.0070,0.012,0.01,0.009,0.008,0.009,0.012,0.0070
33,2019.1,0.025,0.017,0.0170,0.023,0.017,0.018,0.016,0.019,0.022,0.0090,0.016,0.013,0.012,0.009,0.011,0.014,0.0080
34,2019.11,0.034,0.023,0.0260,0.031,0.023,0.025,0.022,0.026,0.03,0.0150,0.023,0.017,0.016,0.013,0.016,0.02,0.0090
35,2019.12,0.035,0.026,0.0300,0.031,0.025,0.028,0.025,0.029,0.031,0.0170,0.025,0.018,0.016,0.015,0.017,0.023,0.0100
36,2020.01,0.034,0.021,0.0270,0.028,0.021,0.026,0.021,0.027,0.03,0.0150,0.023,0.019,0.016,0.013,0.016,0.019,0.0100
37,2020.02,0.032,0.02,0.0230,0.027,0.018,0.023,0.021,0.024,0.027,0.0130,0.02,0.017,0.014,0.012,0.014,0.018,0.0090
38,2020.03,0.027,0.016,0.0170,0.023,0.015,0.018,0.018,0.019,0.023,0.0110,0.016,0.014,0.012,0.01,0.012,0.015,0.0080
39,2020.04,0.021,0.014,0.0130,0.017,0.013,0.014,0.016,0.014,0.017,0.0090,0.013,0.011,0.01,0.009,0.01,0.012,0.0080
40,2020.05,0.02,0.014,0.0110,0.017,0.01,0.011,0.015,0.012,0.016,0.0070,0.01,0.009,0.009,0.008,0.008,0.011,0.0070
41,2020.06,0.019,0.015,0.0120,0.016,0.009,0.012,0.018,0.012,0.015,0.0070,0.01,0.009,0.008,0.008,0.009,0.011,0.0080
42,2020.07,0.016,0.014,0.0110,0.014,0.008,0.01,0.015,0.01,0.012,0.0060,0.008,0.009,0.007,0.007,0.008,0.011,0.0060
43,2020.08,0.014,0.011,0.0090,0.012,0.006,0.01,0.013,0.009,0.011,0.0060,0.008,0.007,0.006,0.006,0.007,0.009,0.0050
44,2020.09,0.016,0.012,0.0130,0.015,0.011,0.012,0.014,0.012,0.013,0.0060,0.01,0.009,0.008,0.008,0.009,0.01,0.0070
45,2020.1,0.025,0.017,0.0190,0.021,0.016,0.021,0.017,0.02,0.022,0.0100,0.015,0.014,0.012,0.01,0.012,0.014,0.0080
46,2020.11,0.03,0.02,0.0240,0.027,0.019,0.024,0.022,0.024,0.027,0.0140,0.018,0.017,0.014,0.013,0.014,0.018,0.0090
47,2020.12,0.032,0.02,0.0240,0.027,0.022,0.027,0.023,0.025,0.028,0.0160,0.021,0.018,0.016,0.014,0.015,0.02,0.0100
48,2021.01,0.031,0.019,0.0230,0.027,0.021,0.025,0.022,0.025,0.026,0.0140,0.019,0.018,0.016,0.013,0.014,0.018,0.0080
49,2021.02,0.03,0.018,0.0220,0.024,0.019,0.02,0.021,0.02,0.025,0.0130,0.017,0.016,0.013,0.013,0.013,0.016,0.0090
50,2021.03,0.032,0.017,0.0180,0.028,0.016,0.021,0.02,0.02,0.025,0.0120,0.016,0.016,0.013,0.011,0.012,0.014,0.0090
51,2021.04,0.022,0.015,0.0130,0.021,0.013,0.015,0.018,0.015,0.018,0.0090,0.013,0.012,0.011,0.009,0.01,0.013,0.0080
52,2021.05,0.019,0.014,0.0120,0.017,0.009,0.012,0.017,0.012,0.015,0.0070,0.011,0.01,0.008,0.007,0.009,0.011,0.0080
53,2021.06,0.018,0.014,0.0100,0.017,0.009,0.012,0.016,0.011,0.014,0.0060,0.01,0.009,0.008,0.007,0.008,0.012,0.0070
54,2021.07,0.016,0.01,0.0090,0.014,0.007,0.009,0.013,0.009,0.012,0.0060,0.008,0.008,0.006,0.006,0.007,0.009,0.0050
55,2021.08,0.015,0.011,0.0100,0.014,0.008,0.011,0.013,0.01,0.012,0.0060,0.009,0.008,0.007,0.006,0.007,0.008,0.0050
56,2021.09,0.014,0.01,0.0100,0.014,0.009,0.011,0.011,0.01,0.011,0.0050,0.009,0.008,0.007,0.006,0.007,0.009,0.0060
57,2021.1,0.022,0.015,0.0160,0.02,0.013,0.018,0.015,0.016,0.018,0.0080,0.013,0.012,0.011,0.009,0.01,0.012,0.0070
58,2021.11,0.031,0.021,0.0240,0.026,0.021,0.024,0.021,0.021,0.026,0.0130,0.018,0.015,0.014,0.012,0.014,0.018,0.0090
59,2021.12,0.031,0.021,0.0250,0.028,0.021,0.025,0.021,0.024,0.027,0.0140,0.019,0.017,0.015,0.012,0.014,0.019,0.0090
60,2022.01,0.032,0.021,0.0250,0.026,0.02,0.027,0.022,0.025,0.029,0.0170,0.021,0.019,0.016,0.012,0.015,0.02,0.0080
61,2022.02,0.026,0.016,0.0180,0.022,0.017,0.022,0.018,0.02,0.023,0.0130,0.017,0.015,0.013,0.01,0.011,0.015,0.0080
62,2022.03,0.026,0.018,0.0180,0.024,0.016,0.021,0.019,0.018,0.022,0.0120,0.015,0.014,0.012,0.011,0.012,0.016,0.0090
63,2022.04,0.02,0.016,0.0130,0.018,0.013,0.016,0.018,0.015,0.017,0.0090,0.012,0.011,0.01,0.009,0.009,0.013,0.0080
64,2022.05,0.015,0.015,0.0110,0.014,0.011,0.013,0.017,0.011,0.013,0.0080,0.01,0.009,0.008,0.008,0.008,0.012,0.0070
65,2022.06,0.013,0.01,0.0080,0.012,0.007,0.01,0.013,0.009,0.01,0.0070,0.008,0.007,0.006,0.006,0.007,0.009,0.0060
66,2022.07,0.014,0.012,0.0080,0.012,0.006,0.01,0.014,0.009,0.01,0.0060,0.007,0.007,0.006,0.005,0.007,0.01,0.0050
67,2022.08,0.013,0.011,0.0090,0.011,0.007,0.01,0.013,0.009,0.01,0.0060,0.007,0.006,0.005,0.005,0.007,0.009,0.0050
68,2022.09,0.016,0.01,0.0100,0.015,0.011,0.012,0.012,0.012,0.013,0.0060,0.009,0.009,0.007,0.006,0.007,0.01,0.0060
69,2022.1,0.02,0.013,0.0140,0.019,0.014,0.017,0.014,0.016,0.018,0.0080,0.012,0.012,0.01,0.008,0.009,0.012,0.0060
70,2022.11,0.028,0.019,0.0250,0.026,0.021,0.025,0.02,0.023,0.025,0.0130,0.018,0.016,0.014,0.013,0.014,0.019,0.0080
71,2022.12,0.028,0.017,0.023,0.024,0.022,0.025,0.018,0.021,0.025,0.015,0.02,0.017,0.015,0.011,0.013,0.018,0.007
